Dato,Dag,Temperatur,Klatrepartner?,Lofoten,Oslo,Sandefjord,Eftang,Tromsø,Skole eller jobb?,Klatret han?
28/07/2020,82,20,1,1,0,0,0,0,1,0
27/07/2020,81,19,1,1,0,0,0,0,0,1
26/07/2020,80,15,1,1,0,0,0,0,0,1
25/07/2020,79,13,1,1,0,0,0,0,0,1
24/07/2020,78,12,1,1,0,0,0,0,0,1
23/07/2020,77,10,1,1,0,0,0,0,0,1
22/07/2020,76,12,1,1,0,0,0,0,0,1
21/07/2020,75,11,1,1,0,0,0,0,1,0
20/07/2020,74,13,1,1,0,0,0,0,0,1
19/07/2020,73,14,0,1,0,0,0,0,0,0
18/07/2020,72,13,0,1,0,0,0,0,0,0
17/07/2020,71,14,1,1,0,0,0,0,0,0
16/07/2020,70,13,1,1,0,0,0,0,0,1
15/07/2020,69,15,1,1,0,0,0,0,0,1
14/07/2020,68,13,1,1,0,0,0,0,1,1
13/07/2020,67,12,1,1,0,0,0,0,0,1
12/07/2020,66,11,1,1,0,0,0,0,0,1
11/07/2020,65,12,1,1,0,0,0,0,0,1
10/07/2020,64,11,1,1,0,0,0,0,0,1
09/07/2020,63,12,0,0,0,0,0,1,0,0
08/07/2020,62,11,0,0,0,0,0,1,1,0
07/07/2020,61,12,0,0,1,0,0,0,1,0
06/07/2020,60,14,0,0,1,0,0,0,0,0
05/07/2020,59,15,0,0,1,0,0,0,0,0
04/07/2020,58,15,0,0,1,0,0,0,0,0
03/07/2020,57,13,0,0,1,0,0,0,0,0
02/07/2020,56,15,1,0,1,0,0,0,0,1
01/07/2020,55,14,0,0,1,0,0,0,0,0
30/06/2020,54,14,0,0,0,1,0,0,1,0
29/06/2020,53,15,0,0,0,1,0,0,1,0
28/06/2020,52,18,0,0,0,1,0,0,0,0
27/06/2020,51,23,0,0,1,0,0,0,0,0
26/06/2020,50,22,1,0,0,0,1,0,0,1
25/06/2020,49,20,1,0,0,1,0,0,0,0
24/06/2020,48,19,1,0,0,0,1,0,0,0
23/06/2020,47,18,1,0,0,0,1,0,1,1
22/06/2020,46,16,1,0,0,0,1,0,0,0
21/06/2020,45,17,1,0,0,0,1,0,0,0
20/06/2020,44,21,0,0,0,0,1,0,0,0
19/06/2020,43,15,0,0,1,0,0,0,0,0
18/06/2020,42,23,0,0,1,0,0,0,0,0
17/06/2020,41,22,0,0,1,0,0,0,0,0
16/06/2020,40,22,0,0,1,0,0,0,0,0
15/06/2020,39,21,0,0,1,0,0,0,1,0
14/06/2020,38,20,0,0,1,0,0,0,1,0
13/06/2020,37,22,0,0,1,0,0,0,1,0
12/06/2020,36,21,1,0,1,0,0,0,1,1
11/06/2020,35,20,0,0,1,0,0,0,1,0
10/06/2020,34,15,0,0,1,0,0,0,1,0
09/06/2020,33,16,0,0,1,0,0,0,1,0
08/06/2020,32,13,0,0,1,0,0,0,1,0
07/06/2020,31,12,1,0,1,0,0,0,1,1
06/06/2020,30,11,0,0,1,0,0,0,1,0
05/06/2020,29,14,0,0,1,0,0,0,1,0
04/06/2020,28,16,0,0,1,0,0,0,1,0
03/06/2020,27,18,0,0,1,0,0,0,1,0
02/06/2020,26,19,0,0,1,0,0,0,1,0
01/06/2020,25,19,0,0,1,0,0,0,1,0
31/05/2020,24,18,0,0,1,0,0,0,1,0
30/05/2020,23,18,0,0,1,0,0,0,1,0
29/05/2020,22,15,0,0,1,0,0,0,1,0
28/05/2020,21,12,0,0,0,1,0,0,1,0
27/05/2020,20,14,0,0,0,1,0,0,1,0
26/05/2020,19,11,0,0,0,1,0,0,1,0
25/05/2020,18,15,1,0,1,0,0,0,0,1
24/05/2020,17,12,0,0,1,0,0,0,0,0
23/05/2020,16,11,0,0,1,0,0,0,0,0
22/05/2020,15,13,1,0,1,0,0,0,0,0
21/05/2020,14,12,1,0,1,0,0,0,0,1
20/05/2020,13,11,1,0,1,0,0,0,0,1
19/05/2020,12,11,0,0,1,0,0,0,0,0
18/05/2020,11,10,0,0,1,0,0,0,0,0
17/05/2020,10,10,0,0,1,0,0,0,0,0
16/05/2020,9,8,0,0,1,0,0,0,0,0
15/05/2020,8,8,0,0,1,0,0,0,1,0
14/05/2020,7,7,0,0,1,0,0,0,1,0
13/05/2020,6,6,0,0,1,0,0,0,1,0
12/05/2020,5,5,1,0,1,0,0,0,0,1
11/05/2020,4,6,1,0,1,0,0,0,0,1
10/05/2020,3,5,0,0,1,0,0,0,0,0
09/05/2020,2,10,1,0,1,0,0,0,0,1
08/05/2020,1,11,1,0,1,0,0,0,0,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,Antall klatredager,20
